ax,ay,az,gx,gy,gz,date_time,temp,pressure
,,,,,,2017-4-3	17:4:51,,
0.15625,-0.0429688,0.943359,1.43433,2.28882,0.0610352,,,
0.15625,-0.03125,0.943359,1.61743,2.34985,0.213623,,,
0.164062,-0.0449219,0.939453,1.61743,2.2583,0.274658,,,
0.171875,-0.03125,0.960938,1.70898,2.2583,0.0305176,,,
0.171875,-0.0195312,0.960938,1.37329,2.19727,0.12207,,,
0.183594,-0.015625,0.966797,1.61743,2.47192,0.213623,,,
0.167969,-0.0429688,0.945312,1.5564,2.19727,0.244141,,,
0.167969,-0.0449219,0.962891,1.58691,2.28882,0.12207,,,
0.160156,-0.0195312,0.955078,1.67847,2.28882,0.274658,,,
0.175781,-0.0371094,0.964844,1.61743,2.28882,0.335693,,,
0.183594,-0.0507812,0.955078,1.28174,2.28882,0.274658,,,
0.179688,-0.03125,0.949219,1.12915,2.22778,0.213623,,,
0.160156,-0.0273438,0.9375,1.34277,2.53296,0.244141,,,
0.179688,-0.0273438,0.943359,1.58691,2.41089,0.244141,,,
0.171875,-0.0429688,0.9375,1.80054,2.44141,0.0610352,,,
0.160156,-0.0390625,0.962891,1.5564,2.22778,0.213623,,,
0.179688,-0.0410156,0.949219,1.64795,2.10571,0.152588,,,
0.171875,-0.0507812,0.949219,1.80054,2.2583,0.213623,,,
0.179688,-0.03125,0.957031,1.77002,2.22778,0.183105,,,
0.167969,-0.0371094,0.941406,1.61743,2.38037,0.0610352,,,
0.164062,-0.0351562,0.960938,1.64795,2.16675,0.152588,,,
0.15625,-0.03125,0.941406,1.49536,2.34985,0.274658,,,
0.167969,-0.0488281,0.941406,1.89209,2.28882,0.0305176,,,
0.179688,-0.0273438,0.955078,1.80054,2.53296,0.0610352,,,
0.164062,-0.0371094,0.9375,1.64795,2.31934,0.213623,,,
0.160156,-0.0527344,0.941406,1.43433,2.04468,0.305176,,,
0.179688,-0.0351562,0.966797,1.61743,2.13623,0.335693,,,
0.171875,-0.015625,0.957031,1.34277,2.13623,0.427246,,,
0.175781,-0.0351562,0.964844,1.43433,2.34985,0.213623,,,
0.164062,-0.0488281,0.964844,1.49536,2.44141,0.305176,,,
0.175781,-0.0449219,0.955078,1.40381,2.31934,0.274658,,,
0.167969,-0.0410156,0.964844,1.43433,2.31934,0.213623,,,
0.171875,-0.0390625,0.958984,1.58691,2.34985,0.244141,,,
0.158203,-0.0449219,0.960938,1.5564,2.19727,0.12207,,,
0.183594,-0.0214844,0.955078,1.58691,2.19727,0.0610352,,,
0.160156,-0.0273438,0.962891,1.5564,2.16675,0.213623,,,
0.179688,-0.0332031,0.941406,1.43433,2.0752,0.152588,,,
0.183594,-0.046875,0.964844,1.40381,2.28882,0.0610352,,,
0.183594,-0.0429688,0.949219,1.67847,2.34985,0.213623,,,
0.175781,-0.0429688,0.957031,1.49536,2.31934,-0.0305176,,,
0.175781,-0.03125,0.957031,1.28174,2.53296,0.213623,,,
0.183594,-0.015625,0.941406,1.64795,2.41089,0.213623,,,
0.167969,-0.0273438,0.966797,1.67847,2.2583,0.396729,,,
0.15625,-0.03125,0.957031,1.70898,2.38037,0.152588,,,
0.175781,-0.0351562,0.964844,1.61743,2.44141,0.213623,,,
0.15625,-0.0390625,0.945312,1.46484,2.47192,0.213623,,,
0.183594,-0.0390625,0.962891,1.40381,2.28882,0.183105,,,
0.15625,-0.0273438,0.96875,1.34277,2.19727,0.152588,,,
0.15625,-0.0429688,0.9375,1.49536,2.16675,0.213623,,,
0.183594,-0.0195312,0.960938,1.7395,2.41089,0.213623,,,
0.171875,-0.0234375,0.958984,1.61743,2.31934,0.213623,,,
0.167969,-0.0292969,0.966797,1.70898,2.19727,0.12207,,,
0.175781,-0.0410156,0.960938,1.61743,2.22778,0.244141,,,
0.160156,-0.0429688,0.962891,1.49536,2.47192,0.335693,,,
0.175781,-0.03125,0.957031,1.28174,2.19727,0.152588,,,
0.15625,-0.0195312,0.966797,1.58691,2.28882,0.152588,,,
0.183594,-0.0273438,0.955078,1.89209,2.19727,0.305176,,,
0.183594,-0.0390625,0.951172,1.89209,2.44141,0.213623,,,
0.164062,-0.0390625,0.9375,1.5564,2.28882,0.152588,,,
0.175781,-0.03125,0.962891,1.37329,2.34985,0.152588,,,
0.183594,-0.0273438,0.949219,-1.49536,-1.58691,-0.0305176,,,
0.183594,-0.03125,0.964844,-11.9934,-33.9661,29.9377,,,
0.205078,-0.0273438,1.01367,-22.0642,-41.7786,112.091,,,
0.208984,-0.0839844,0.955078,1.2207,-17.6697,151.825,,,
0.164062,0.0410156,0.894531,21.7896,8.48389,177.094,,,
0.197266,0.078125,0.992188,-8.11768,4.79126,93.6279,,,
0.224609,0.0839844,0.894531,13.6719,-0.152588,-16.1743,,,
0.201172,-0.0449219,0.9375,-0.88501,5.24902,-0.457764,,,
0.330078,-0.0800781,1.10547,2.53296,1.64795,0.183105,,,
0.242188,-0.125,0.966797,1.77002,2.2583,0.366211,,,
0.167969,0.0195312,0.953125,-0.88501,-2.68555,5.95093,,,
-0.107422,-0.128906,0.980469,11.261,41.4429,9.91821,,,
0.34375,0.150391,1.05664,93.8721,64.8499,-19.4397,,,
0.320312,0.136719,1.17383,118.622,52.1851,-37.4756,,,
0.126953,-0.392578,0.998047,134.613,26.9165,25.0549,,,
-0.355469,-0.154297,0.767578,35.7056,6.28662,69.2749,,,
0.164062,0.0371094,0.90625,31.6467,27.8625,99.8535,,,
0.126953,-0.205078,1.22852,85.6323,35.9802,107.3,,,
-0.113281,-0.273438,1.02539,118.408,77.7588,93.75,,,
0.228516,-0.205078,1.01953,159.637,59.5703,57.9834,,,
0.15625,-0.289062,0.863281,123.596,30.5481,20.813,,,
-0.382812,-0.121094,0.730469,60.4248,44.1895,-4.21143,,,
-0.400391,-0.128906,1.07031,137.573,79.6814,-12.8784,,,
-0.453125,-0.419922,1.31641,235.229,116.669,-6.74438,,,
-0.417969,-0.078125,0.789062,129.333,60.4248,-37.384,,,
0.166016,-0.189453,1.0957,19.3787,96.8628,46.7834,,,
0.160156,0.207031,1.4082,38.0859,25.6653,8.5144,,,
-0.148438,-0.361328,0.769531,-13.7634,10.5896,-11.6882,,,
-0.189453,-0.265625,0.673828,-56.4575,17.6697,-22.522,,,
-0.667969,-0.580078,0.888672,-27.8625,28.2593,-13.8855,,,
-0.427734,-0.46875,0.853516,-4.85229,40.5884,10.1624,,,
-0.335938,-0.292969,0.929688,-9.33838,55.2979,14.7705,,,
-0.332031,-0.179688,0.957031,-10.8032,52.3682,-17.0288,,,
-0.251953,-0.287109,0.935547,-35.1257,56.488,-33.4167,,,
-0.240234,-0.363281,0.839844,-94.574,71.106,-42.3889,,,
-0.173828,-0.320312,0.828125,-120.3,74.9817,-60.5164,,,
-0.164062,-0.347656,0.916016,-93.75,70.282,-48.2483,,,
-0.28125,-0.400391,1.01758,-40.6494,72.052,6.74438,,,
-0.316406,-0.419922,1.04688,-17.395,97.8088,58.3191,,,
-0.216797,-0.488281,0.951172,-28.4119,116.76,85.6934,,,
-0.191406,-0.609375,0.902344,-79.7729,137.36,94.3909,,,
-0.0175781,-0.708984,0.816406,-105.652,162.567,81.2378,,,
,,,,,,2017-4-3	17:4:56,30,0
-0.285156,-0.720703,0.703125,-112.213,-8.08716,12.5122,,,
-0.273438,-0.839844,0.613281,-83.5266,19.6838,17.4866,,,
-0.203125,-0.708984,0.59375,-54.6875,47.3328,12.6038,,,
-0.376953,-0.462891,0.570312,-23.0103,61.7676,19.5618,,,
-0.498047,-1.01172,0.515625,49.6216,112.335,79.01,,,
-0.328125,-1.05859,0.417969,69.397,198.639,178.955,,,
-0.150391,-0.886719,0.175781,-34.2712,230.377,246.124,,,
0.300781,-0.708984,0.513672,26.062,192.505,203.522,,,
0.722656,-0.103516,0.667969,72.5098,68.1763,112.671,,,
-0.0605469,-0.835938,0.517578,-120.941,2.2583,-74.5239,,,
-0.216797,-0.800781,0.466797,-169.891,-65.2161,-114.777,,,
-0.292969,-0.796875,0.443359,-118.164,-44.7693,-44.0674,,,
-0.367188,-0.787109,0.513672,-91.0339,9.21631,18.7378,,,
-0.0683594,-0.576172,0.222656,-117.432,22.6135,23.0408,,,
-0.107422,-0.863281,0.191406,-92.2241,47.9126,0.0305176,,,
-0.0332031,-0.888672,0.449219,-55.9998,-1.80054,-17.0288,,,
-0.146484,-0.830078,0.445312,-65.4907,-72.7844,2.92969,,,
-0.201172,-0.990234,0.53125,-62.1338,-60.1807,-6.34766,,,
0.0859375,-0.714844,0.166016,-68.3594,-36.4075,-16.449,,,
-0.03125,-0.84375,0.347656,-41.1987,-14.7705,9.73511,,,
-0.107422,-0.90625,0.314453,-15.3503,54.8096,31.9824,,,
-0.0605469,-0.802734,0.322266,30.7922,169.83,66.5894,,,
0.105469,-0.804688,0.410156,153.473,346.069,40.741,,,
0.185547,-0.775391,0.646484,148.285,318.451,-50.4456,,,
0.339844,-0.730469,-0.150391,-63.8428,128.723,-113.007,,,
-0.115234,-1.27734,0.0820312,-47.4548,42.9993,-96.283,,,
-0.0273438,-1.27734,0.359375,9.76562,0.518799,-62.8357,,,
-0.128906,-1.11914,0.412109,3.72314,-44.1895,-29.1443,,,
-0.117188,-1.125,0.279297,9.12476,-46.8445,-2.62451,,,
0.0878906,-1.13867,0.251953,12.3291,-22.583,-6.34766,,,
0.201172,-1.06836,0.197266,-31.7383,-19.3481,-42.0532,,,
0.238281,-0.992188,0.138672,-49.4995,6.13403,-63.1409,,,
0.0214844,-0.878906,0.0234375,-8.78906,-8.60596,10.1624,,,
0.207031,-0.890625,0.0371094,-96.8018,-10.2844,15.4114,,,
0.220703,-0.890625,0.119141,-106.689,27.1606,10.8948,,,
0.197266,-0.765625,0.125,-95.0317,52.6428,-1.64795,,,
0.142578,-0.693359,0.201172,-71.4417,63.8123,-25.238,,,
0.103516,-0.791016,0.238281,-15.0452,85.022,-38.0859,,,
0.0761719,-0.863281,0.0917969,6.80542,84.3506,-39.3066,,,
0.148438,-0.992188,0.0253906,-53.4058,55.9082,-43.396,,,
0.177734,-0.880859,0.125,-71.7468,31.9824,-39.3982,,,
0.148438,-0.794922,0.169922,-14.2517,19.4397,-42.2363,,,
0.107422,-0.853516,0.103516,12.0544,1.12915,-35.1257,,,
0.0996094,-0.878906,0.148438,12.6953,-5.61523,-18.5242,,,
0.15625,-1.00586,0.0605469,-21.1487,-5.70679,-3.35693,,,
0.232422,-0.9375,0.0976562,-17.395,-13.916,4.73022,,,
0.248047,-0.802734,0.0761719,14.2822,-28.1677,-7.23267,,,
0.244141,-0.845703,0.0898438,37.7808,-38.1165,-16.51,,,
0.167969,-0.890625,0.0898438,63.9648,-34.2407,-9.85718,,,
0.136719,-0.917969,0.0488281,41.2292,-26.123,4.82178,,,
0.164062,-0.957031,0.0234375,-2.80762,-14.3127,17.1814,,,
0.248047,-0.859375,0.0546875,-10.7117,-7.35474,16.6321,,,
0.248047,-0.841797,0.0859375,-2.47192,-2.44141,12.7258,,,
0.248047,-0.859375,0.078125,-6.37817,0,13.2751,,,
0.259766,-0.888672,0.0644531,-9.64355,5.85938,14.2212,,,
0.287109,-0.902344,0.0664062,-10.5896,10.5286,3.93677,,,
0.296875,-0.960938,0.078125,-10.376,7.41577,-10.3149,,,
0.275391,-1.04102,0.0898438,4.88281,-3.75366,-9.8877,,,
0.212891,-0.992188,0.103516,30.7922,-5.34058,7.53784,,,
0.228516,-0.982422,0.121094,21.5149,-5.09644,29.1748,,,
0.265625,-0.992188,0.0683594,-1.64795,-5.18799,36.8347,,,
0.265625,-0.957031,0.0117188,-2.04468,-5.31006,32.0129,,,
0.314453,-0.960938,0.046875,13.1836,-6.22559,25.3906,,,
0.318359,-0.955078,0.0449219,13.3667,1.5564,19.4702,,,
0.248047,-0.896484,0.0449219,-1.77002,-6.68335,3.32642,,,
0.236328,-0.953125,0.0351562,-20.5994,5.12695,3.78418,,,
0.265625,-0.958984,0.0488281,-28.1982,13.5498,3.57056,,,
0.232422,-0.943359,0.119141,-21.3013,18.0359,3.11279,,,
0.138672,-0.933594,0.15625,-12.6953,18.4326,15.1062,,,
0.148438,-0.992188,0.193359,-11.0474,11.9629,33.9966,,,
0.265625,-1,0.195312,-14.2212,5.12695,40.1611,,,
0.376953,-1.04688,0.185547,-39.032,-3.66211,29.9988,,,
0.455078,-0.970703,0.205078,-40.4358,-14.4653,13.855,,,
0.439453,-1.0332,0.148438,-17.8833,-27.4658,-17.0288,,,
0.376953,-1.08984,0.138672,2.31934,-40.4968,-46.5393,,,
0.322266,-1.08203,0.117188,7.56836,-43.3044,-57.0374,,,
0.285156,-1.03125,0.0800781,-1.46484,-41.4734,-61.6455,,,
0.318359,-1.01367,0.0761719,-4.76074,-38.0249,-72.7844,,,
0.375,-1.04688,0.0449219,37.2314,-41.5344,-93.2312,,,
0.359375,-1.01758,0.0449219,96.6797,-44.1589,-110.443,,,
0.236328,-0.957031,0.015625,128.174,-40.1611,-108.978,,,
0.179688,-0.908203,0.0429688,142.853,-21.2402,-86.1511,,,
0.0429688,-0.755859,0.00195312,134.766,7.87354,-47.9126,,,
-0.0214844,-0.740234,0.0449219,87.9211,45.8069,-2.65503,,,
0.103516,-0.900391,0.0625,-34.1187,90.3015,22.4915,,,
0.369141,-1.10938,0.0644531,-91.3391,118.011,45.3796,,,
0.474609,-1.00195,0.333984,-35.6445,130.737,37.9333,,,
0.458984,-0.833984,0.21875,-38.5132,96.1609,3.20435,,,
0.4375,-0.724609,0.367188,-8.66699,66.0706,-25.8789,,,
0.496094,-0.695312,0.484375,41.2903,40.0696,-38.0859,,,
0.447266,-0.490234,0.427734,80.78,25.4211,-40.4663,,,
0.427734,-0.742188,0.392578,78.8879,16.1743,-71.228,,,
0.351562,-0.914062,0.21875,23.8037,-7.84302,-84.3811,,,
0.273438,-0.941406,0.142578,-8.81958,-30.6702,-62.8967,,,
0.240234,-1.02344,0.162109,24.5361,-28.2898,-7.69043,,,
0.15625,-1.08594,0.236328,56.3049,-16.449,42.572,,,
0.410156,-0.84375,0.1875,0.793457,23.5901,11.0474,,,
0.439453,-0.933594,0.185547,-2.56348,13.3362,7.17163,,,
0.560547,-0.974609,0.214844,11.9629,8.14819,1.92261,,,
0.542969,-0.941406,0.201172,23.8647,1.80054,-17.8223,,,
0.519531,-0.933594,0.15625,30.7922,-21.8811,-45.0134,,,
0.447266,-0.839844,0.201172,51.4221,-40.1917,-70.3735,,,
0.394531,-0.785156,0.203125,70.8008,-41.8091,-78.0334,,,
0.296875,-0.8125,0.173828,63.5071,-33.6609,-63.5986,,,
0.195312,-0.892578,0.191406,43.8843,-7.93457,-21.5454,,,
0.111328,-0.867188,0.220703,6.2561,15.3809,32.6538,,,
0.164062,-0.802734,0.193359,-35.8887,18.3105,71.4111,,,
0.337891,-0.78125,0.257812,-44.4641,23.3765,88.1348,,,
0.498047,-0.849609,0.304688,-17.2119,30.1819,80.5969,,,
0.583984,-0.820312,0.289062,-0.335693,28.6255,47.7905,,,
0.560547,-0.810547,0.257812,-8.60596,7.87354,2.92969,,,
0.537109,-0.875,0.275391,4.08936,-20.6909,-32.6233,,,
0.548828,-0.914062,0.275391,35.614,-39.6423,-57.1899,,,
0.529297,-0.964844,0.224609,52.3071,-58.075,-69.8242,,,
0.457031,-1.01562,0.164062,70.6482,-68.2678,-76.1414,,,
0.419922,-0.923828,0.195312,88.0432,-53.4668,-75.0122,,,
0.363281,-0.828125,0.205078,74.0356,-31.5247,-64.6667,,,
0.269531,-0.763672,0.160156,34.8511,-5.70679,-41.687,,,
0.246094,-0.736328,0.207031,4.57764,23.6511,-6.98853,,,
0.25,-0.726562,0.25,-7.93457,53.3447,21.7285,,,
0.294922,-0.734375,0.287109,-23.1628,69.6716,36.1938,,,
0.355469,-0.720703,0.289062,-40.5273,75.9277,40.0696,,,
0.382812,-0.738281,0.314453,-50.6287,74.8291,40.1611,,,
0.40625,-0.773438,0.369141,-49.2859,61.0962,38.0554,,,
0.492188,-0.884766,0.384766,-28.5034,32.4707,31.25,,,
0.519531,-0.933594,0.375,-0.701904,-5.5542,15.2588,,,
0.525391,-0.849609,0.345703,13.5193,-45.3491,-3.20435,,,
0.492188,-0.845703,0.318359,20.1721,-70.0073,-14.8926,,,
0.337891,-0.751953,0.195312,-24.292,28.6255,3.54004,,,
0.294922,-0.804688,0.208984,-42.9688,46.3257,16.2659,,,
0.289062,-0.835938,0.228516,-59.3567,54.9927,31.4941,,,
0.398438,-0.880859,0.269531,-44.0369,58.0139,42.2363,,,
0.431641,-0.878906,0.265625,-25.116,48.9807,39.3372,,,
0.414062,-0.865234,0.261719,-28.2898,26.3367,24.2615,,,
0.429688,-0.820312,0.263672,-31.5552,6.98853,7.8125,,,
0.394531,-0.828125,0.275391,-23.8342,-9.3689,1.89209,,,
0.382812,-0.855469,0.269531,-10.1929,-18.5547,3.54004,,,
0.392578,-0.910156,0.248047,3.60107,-28.4424,3.50952,,,
0.345703,-0.867188,0.195312,14.7705,-36.0107,-1.2207,,,
0.287109,-0.808594,0.193359,20.0806,-32.5317,-2.31934,,,
0.205078,-0.777344,0.160156,7.41577,-21.0876,4.36401,,,
0.162109,-0.798828,0.144531,-11.5967,-12.1765,15.9607,,,
0.164062,-0.800781,0.134766,-11.5051,-5.06592,21.4233,,,
0.203125,-0.753906,0.140625,-9.15527,1.40381,21.8811,,,
0.205078,-0.816406,0.103516,-6.89697,6.68335,23.6816,,,
0.208984,-0.865234,0.154297,-4.08936,15.1367,27.0691,,,
0.212891,-0.884766,0.136719,1.19019,19.8669,32.074,,,
